engagement_id,customer_id,engagement_date,login_frequency,time_spent,pages_visited,purchase_clicks,feedback_score,email_open_rate,promo_redemptions
119,119,10/23/2021,56,1112,826,26,7.8,3.9,209
120,120,10/10/2021,43,272,483,3,4.1,59.2,656
121,121,11/22/2021,88,346,698,87,2.7,66.5,649
122,122,7/5/2021,100,967,4,74,9.5,28.5,406
123,123,4/26/2021,62,344,444,16,7.9,83.7,398
124,124,12/16/2021,1,134,588,26,2.4,33.2,505
125,125,9/25/2021,15,464,128,4,1.4,57.5,398
126,126,8/11/2021,99,98,158,13,8.8,45.2,487
127,127,5/17/2021,33,248,920,44,5.8,76.5,583
128,128,3/30/2021,48,1155,259,57,6.0,32.6,483
129,129,6/23/2021,4,1038,652,65,10.0,40.6,361
130,130,8/5/2021,70,1155,759,55,0.6,55.6,251
131,131,3/12/2021,62,269,535,13,7.6,42.1,858
132,132,9/7/2021,7,1429,867,95,8.4,62.0,573
133,133,6/13/2021,4,471,938,65,0.7,84.7,873
134,134,1/20/2021,31,773,13,98,3.5,14.0,333
135,135,10/8/2021,63,1339,208,93,2.8,45.0,235
136,136,5/31/2021,94,629,660,72,6.5,15.2,903
137,137,3/18/2021,8,1223,723,52,1.0,41.1,762
138,138,7/11/2021,34,382,799,86,8.6,13.1,44
139,139,7/10/2021,73,253,861,97,8.9,22.8,587
140,140,7/23/2021,4,1305,321,84,3.8,94.8,883
141,141,10/10/2021,20,209,507,34,9.8,13.8,819
142,142,10/9/2021,63,343,881,96,4.1,84.7,565
143,143,11/5/2021,23,1330,327,3,0.6,57.9,598
144,144,6/26/2021,11,850,898,19,2.6,23.3,957
145,145,10/25/2021,18,325,644,23,9.8,47.3,898
146,146,10/23/2021,46,1437,968,58,9.5,68.1,242
147,147,3/6/2021,98,1176,858,42,1.2,89.5,128
148,148,8/23/2021,3,1169,569,6,7.1,22.1,734
149,149,2/23/2021,31,314,460,10,6.9,34.0,958
150,150,1/11/2021,6,959,464,8,9.7,97.6,221
151,151,9/17/2021,31,673,165,21,7.9,59.7,400
152,152,10/10/2021,36,1359,191,6,5.7,42.4,663
153,153,8/19/2021,35,237,567,56,7.8,2.2,995
154,154,6/2/2021,89,22,753,2,7.2,78.6,204
155,155,5/7/2021,44,713,450,36,2.2,25.0,517
156,156,4/3/2021,43,513,526,7,4.7,7.4,153
157,157,6/8/2021,60,1193,746,100,6.3,43.1,260
158,158,10/16/2021,84,1307,655,66,7.2,56.7,56
159,159,1/17/2021,44,1179,300,73,6.7,84.3,744
160,160,5/4/2021,29,476,295,71,2.3,42.7,890
161,161,10/28/2021,22,152,212,58,6.3,41.0,54
162,162,1/31/2021,94,962,363,78,7.8,76.0,713
163,163,2/25/2021,17,523,423,65,9.9,69.4,57
164,164,8/5/2021,95,222,508,12,9.9,76.4,675
165,165,7/30/2021,78,1158,410,29,1.1,60.0,289
166,166,5/5/2021,28,1430,802,67,6.2,64.8,559
167,167,11/11/2021,2,634,319,71,8.8,64.5,239
168,168,12/5/2021,96,1314,517,63,7.8,72.7,119
169,169,9/16/2021,89,600,589,80,7.1,15.9,211
170,170,7/17/2021,29,1201,85,30,4.6,36.3,666
171,171,4/28/2021,16,1155,317,58,8.3,2.1,554
172,172,11/6/2021,27,845,367,97,7.4,76.8,660
173,173,3/9/2021,98,1094,430,54,5.3,72.7,158
174,174,10/5/2021,59,1224,950,98,6.0,6.0,49
175,175,10/24/2021,13,938,395,68,0.4,6.4,745
176,176,3/1/2021,64,566,370,70,8.0,33.8,328
177,177,3/29/2021,60,1229,732,91,7.7,28.0,645
178,178,2/21/2021,2,707,695,84,8.0,0.0,632
179,179,8/23/2021,32,831,791,6,8.5,90.1,440
180,180,5/21/2021,50,203,773,100,0.9,5.6,256
181,181,8/14/2021,68,1201,223,10,4.7,82.1,591
182,182,7/6/2021,14,502,55,98,6.5,82.3,437
183,183,9/6/2021,7,298,447,32,2.3,4.9,200
184,184,6/8/2021,90,280,740,70,2.3,26.1,309
185,185,3/30/2021,10,1111,828,94,9.1,56.8,21
186,186,10/31/2021,86,141,339,29,8.5,40.0,171
187,187,1/10/2021,47,1216,938,83,5.5,80.2,247
188,188,1/12/2021,95,305,136,48,6.1,5.5,985
189,189,6/1/2021,43,1021,313,56,8.3,27.0,689
190,190,8/5/2021,71,620,676,98,2.4,82.8,17
191,191,6/14/2021,38,214,876,88,6.9,95.9,199
192,192,8/5/2021,59,1250,580,92,5.1,98.8,116
193,193,7/7/2021,76,1308,812,81,2.9,33.5,8
194,194,1/28/2021,91,372,381,80,1.5,70.1,138
195,195,12/27/2021,88,1139,735,15,3.4,61.4,415
196,196,7/6/2021,45,838,358,28,6.7,5.7,918
197,197,3/31/2021,23,1121,627,19,8.2,83.3,778
198,198,6/17/2021,11,1339,500,35,3.3,47.9,43
199,199,9/8/2021,52,1275,190,61,9.8,30.6,990
200,200,9/16/2021,73,11,593,97,2.1,74.4,779
201,201,4/15/2021,100,1335,539,56,5.7,55.3,37
202,202,4/26/2021,21,1261,58,86,2.6,1.2,115
203,203,5/25/2021,28,1193,268,82,9.0,72.3,754
204,204,2/18/2021,54,421,98,52,7.9,51.8,755
205,205,6/19/2021,28,989,714,75,1.2,23.4,2
206,206,1/6/2021,71,307,222,82,2.8,98.8,53
207,207,3/5/2021,52,166,653,70,6.6,9.3,139
208,208,1/26/2021,43,1405,783,0,4.6,73.8,190
209,209,11/10/2021,96,964,46,77,9.3,32.1,324
210,210,4/30/2021,32,408,977,53,0.4,16.8,482
211,211,4/25/2021,18,1040,288,14,3.8,30.8,351
212,212,2/16/2021,65,348,851,85,7.2,15.2,234
213,213,3/30/2021,23,721,553,65,8.2,71.0,818
214,214,12/2/2021,16,1225,129,89,4.0,33.6,488
215,215,7/13/2021,65,755,155,35,8.5,46.8,658
216,216,9/15/2021,66,891,276,86,5.5,75.9,928
217,217,9/12/2021,26,359,204,41,6.7,69.7,246
218,218,2/15/2021,93,1030,195,85,5.4,22.6,480
219,219,9/17/2021,80,614,422,67,2.1,83.1,206
220,220,8/28/2021,13,197,310,70,9.9,41.8,438
221,221,3/14/2021,48,253,931,1,7.4,71.3,613
222,222,2/20/2021,2,1318,997,66,2.6,51.0,472
223,223,9/13/2021,88,859,995,90,7.4,30.6,805
224,224,1/1/2021,43,888,337,89,2.0,53.0,77
225,225,6/26/2021,4,101,718,72,5.9,50.4,561
226,226,10/13/2021,41,673,877,84,7.4,24.8,600
227,227,2/13/2021,20,658,157,11,3.4,90.5,787
228,228,8/29/2021,72,1319,826,78,9.6,19.3,913
229,229,9/11/2021,40,95,845,28,2.1,38.9,378
230,230,2/20/2021,68,643,879,59,4.7,46.0,584
231,231,7/6/2021,34,471,380,47,6.0,45.1,845
232,232,1/4/2021,21,70,987,75,9.0,7.2,631
233,233,8/2/2021,9,248,148,0,8.1,85.1,959
234,234,4/21/2021,78,423,656,28,5.7,20.1,303
235,235,3/14/2021,0,157,529,79,8.1,45.9,688
236,236,2/18/2021,44,961,482,45,2.9,82.8,742
237,237,2/3/2021,89,168,89,17,1.3,10.2,797
238,238,10/12/2021,80,574,25,54,0.1,67.4,334
239,239,5/27/2021,89,1099,439,36,8.3,59.6,667
240,240,2/1/2021,11,244,364,75,7.2,19.5,132
241,241,7/24/2021,67,104,355,55,5.0,15.0,322
242,242,7/3/2021,9,529,60,70,3.3,14.4,648
243,243,10/30/2021,14,468,22,35,8.5,3.6,553
244,244,1/8/2021,21,15,315,43,4.8,22.4,260
245,245,5/30/2021,77,233,321,42,9.5,11.4,179
246,246,6/28/2021,58,893,687,2,1.6,24.8,170
247,247,3/25/2021,23,942,398,46,5.7,98.6,613
248,248,7/10/2021,77,806,478,33,9.7,17.8,552
249,249,5/5/2021,92,387,281,5,4.0,48.9,480
250,250,2/6/2021,44,125,639,47,8.8,92.0,565
251,251,5/3/2021,47,32,611,77,4.6,75.1,527
252,252,2/14/2021,44,659,901,13,7.6,57.1,188
253,253,11/16/2021,18,1408,246,1,8.5,27.1,925
254,254,11/27/2021,53,448,447,11,4.1,43.2,46
255,255,7/9/2021,67,88,68,88,6.1,4.5,513
256,256,4/2/2021,97,58,155,83,5.2,74.3,971
257,257,2/25/2021,62,229,657,7,1.1,12.9,456
258,258,12/3/2021,67,541,584,79,9.8,74.2,87
259,259,6/7/2021,68,713,297,77,4.7,21.2,615
260,260,10/26/2021,56,734,892,86,1.5,34.3,370
261,261,2/7/2021,66,369,830,96,3.4,68.3,443
262,262,8/9/2021,91,222,732,88,3.3,14.0,391
263,263,5/28/2021,60,509,816,19,5.2,38.6,635
264,264,7/11/2021,99,1291,511,34,6.6,93.5,603
265,265,8/26/2021,100,579,714,82,1.1,71.5,68
266,266,1/14/2021,31,1419,986,15,2.5,9.4,385
267,267,1/9/2021,74,1404,742,84,0.1,73.4,764
268,268,6/2/2021,71,207,678,72,8.9,82.2,982
269,269,7/30/2021,1,559,903,81,4.5,18.3,175
270,270,9/10/2021,67,1216,740,23,6.0,78.0,357
271,271,11/6/2021,95,720,452,1,6.2,57.1,732
272,272,8/29/2021,37,1070,92,4,5.8,15.6,305
273,273,3/23/2021,69,308,321,2,8.5,92.5,51
274,274,8/13/2021,54,72,658,76,1.5,27.4,223
275,275,1/9/2021,96,85,259,24,9.4,95.6,442
276,276,10/11/2021,3,1067,739,40,1.4,50.1,166
277,277,7/1/2021,69,26,558,16,3.2,41.0,37
278,278,11/6/2021,31,971,926,32,7.9,79.1,317
279,279,3/9/2021,100,1275,227,78,9.3,3.0,819
280,280,10/7/2021,66,1137,760,52,2.1,90.2,556
281,281,8/8/2021,37,530,348,46,3.8,7.8,327
282,282,12/15/2021,97,746,357,22,4.1,51.5,555
283,283,1/25/2021,94,1390,289,85,3.1,78.9,134
284,284,5/6/2021,93,226,981,16,4.8,62.6,979
285,285,7/17/2021,33,1118,796,9,3.7,21.4,912
286,286,11/30/2021,60,643,649,75,3.4,29.1,739
287,287,6/19/2021,98,346,60,54,7.0,58.6,154
288,288,6/22/2021,55,329,141,92,2.6,76.4,619
289,289,2/9/2021,87,962,202,12,0.3,0.5,328
290,290,7/31/2021,36,477,452,82,9.7,93.6,597
291,291,2/22/2021,89,870,203,74,2.4,36.2,755
292,292,7/23/2021,63,200,122,92,8.9,24.6,481
293,293,6/29/2021,10,1269,739,47,9.3,18.5,721
294,294,6/13/2021,65,1323,645,92,0.6,43.1,378
295,295,11/2/2021,4,793,274,69,9.3,93.9,220
296,296,1/12/2021,45,1269,189,80,9.1,20.3,373
297,297,1/11/2021,89,1028,96,58,6.8,69.5,281
298,298,8/1/2021,33,1112,352,1,4.7,71.8,671
299,299,10/15/2021,63,744,396,48,2.9,12.7,320
300,300,10/19/2021,71,208,146,50,7.2,67.5,589
301,301,6/1/2021,58,208,521,85,1.4,70.5,242
302,302,12/18/2021,38,1298,924,17,8.5,33.3,719
303,303,10/8/2021,92,270,827,76,1.8,75.0,114
304,304,6/19/2021,49,70,909,30,6.4,69.8,774
305,305,12/12/2021,8,815,133,50,6.0,41.1,91
306,306,8/30/2021,31,1002,678,79,5.1,87.3,807
307,307,9/11/2021,55,648,465,0,8.7,0.7,148
308,308,8/11/2021,60,160,14,51,9.8,19.3,383
309,309,5/13/2021,67,1168,980,93,8.0,12.1,974
310,310,7/8/2021,93,392,851,14,3.9,91.6,344
311,311,7/20/2021,51,229,746,17,4.0,39.6,540
312,312,4/21/2021,41,533,730,59,9.7,72.7,328
313,313,6/18/2021,35,132,302,87,5.1,15.7,551
314,314,9/24/2021,14,460,585,40,9.2,23.6,191
315,315,2/12/2021,6,523,27,14,9.5,52.7,703
316,316,5/7/2021,73,1286,908,89,8.9,91.3,978
317,317,5/13/2021,13,1159,817,55,1.4,58.8,890
318,318,10/4/2021,3,1191,565,17,1.1,28.1,737
319,319,1/16/2021,83,824,713,23,8.7,6.4,899
320,320,5/25/2021,81,300,668,63,0.6,75.0,899
321,321,11/11/2021,27,466,97,49,5.5,47.1,575
322,322,8/6/2021,80,361,325,60,9.3,85.0,795
323,323,8/10/2021,22,942,558,5,5.2,90.3,334
324,324,9/10/2021,96,1127,675,45,10.0,41.0,762
325,325,10/27/2021,29,1147,209,18,1.3,56.4,368
326,326,11/22/2021,17,1362,914,41,8.6,46.5,74
327,327,1/4/2021,83,1140,535,66,4.3,44.9,317
328,328,2/7/2021,4,427,845,71,1.6,69.5,805
329,329,10/10/2021,87,896,265,17,4.9,21.1,607
330,330,7/23/2021,91,627,69,88,3.4,20.4,947
331,331,5/22/2021,72,1017,223,34,1.4,6.2,571
332,332,9/13/2021,27,772,104,14,7.2,56.9,866
333,333,5/31/2021,60,1190,482,21,1.2,73.6,349
334,334,6/8/2021,13,877,740,63,4.1,87.9,543
335,335,8/24/2021,5,801,416,44,1.6,3.7,137
336,336,4/12/2021,39,1394,52,82,8.5,93.1,484
337,337,7/24/2021,82,219,932,38,4.9,1.7,66
338,338,3/23/2021,51,380,570,9,0.8,83.4,804
339,339,12/18/2021,51,1260,121,57,7.2,24.3,428
340,340,1/21/2021,96,1429,545,24,6.9,66.6,508
341,341,10/2/2021,71,986,224,9,8.2,13.8,335
342,342,8/26/2021,96,1414,838,69,9.9,48.2,652
343,343,6/25/2021,31,581,440,79,8.3,72.5,45
344,344,7/27/2021,44,240,470,74,6.9,50.5,852
345,345,11/1/2021,54,1315,942,7,6.0,99.0,847
346,346,1/28/2021,89,555,734,3,9.0,31.0,864
347,347,4/23/2021,10,299,604,90,1.4,9.1,236
348,348,10/8/2021,13,436,664,34,8.7,63.5,923
349,349,4/5/2021,67,1409,975,94,4.8,68.5,103
350,350,8/16/2021,78,674,127,27,4.8,18.7,410
351,351,6/6/2021,4,559,195,8,7.6,64.9,496
352,352,11/19/2021,66,177,840,21,1.2,70.4,705
353,353,4/8/2021,65,1081,644,99,4.3,55.7,694
354,354,9/27/2021,37,570,649,57,3.6,50.3,151
355,355,4/15/2021,21,248,992,81,7.3,21.9,150
356,356,1/28/2021,70,496,555,51,7.6,8.3,640
357,357,11/3/2021,16,340,189,7,2.5,0.8,300
358,358,8/23/2021,56,1228,185,74,7.2,32.1,194
359,359,5/18/2021,20,806,167,50,3.1,83.0,967
360,360,4/11/2021,5,408,623,40,6.3,2.1,715
361,361,5/1/2021,15,472,524,50,3.5,95.6,886
362,362,12/12/2021,67,1044,964,47,8.4,86.4,679
363,363,9/27/2021,28,242,619,68,1.9,83.3,32
364,364,4/8/2021,72,200,273,89,7.7,12.1,534
365,365,11/10/2021,61,797,250,3,0.2,88.4,214
366,366,8/3/2021,2,697,900,90,6.6,76.0,465
367,367,7/18/2021,74,1181,296,9,4.7,99.5,341
368,368,1/21/2021,41,1148,726,26,2.3,10.0,963
369,369,3/14/2021,78,753,349,81,4.8,23.2,953
370,370,1/19/2021,88,1431,765,15,3.9,88.8,128
371,371,9/1/2021,97,736,504,5,8.7,23.2,873
372,372,2/13/2021,2,1218,564,80,0.2,10.6,149
373,373,1/1/2021,27,885,960,14,2.8,88.4,641
374,374,8/28/2021,78,93,36,10,3.6,98.2,800
375,375,2/12/2021,11,922,816,26,8.8,17.6,119
376,376,5/6/2021,33,1435,486,37,2.8,17.5,81
377,377,9/10/2021,99,262,398,68,8.1,59.5,483
378,378,6/5/2021,72,803,843,48,7.7,65.6,550
379,379,8/29/2021,22,291,317,76,9.6,49.9,151
380,380,1/18/2021,77,645,513,14,0.1,9.6,794
381,381,10/10/2021,27,410,682,85,0.6,9.6,199
382,382,4/3/2021,17,280,568,67,7.4,70.9,449
383,383,6/22/2021,63,1400,682,27,4.3,9.1,703
384,384,3/15/2021,3,1337,472,91,8.4,55.5,393
385,385,9/5/2021,76,695,865,24,4.4,41.2,63
386,386,8/18/2021,71,1080,729,22,1.4,91.3,127
387,387,11/26/2021,5,104,909,27,4.1,49.3,622
388,388,4/6/2021,65,546,395,22,9.0,43.0,581
389,389,11/28/2021,43,726,8,20,1.0,92.6,903
390,390,1/14/2021,57,623,763,19,2.9,39.8,593
391,391,9/6/2021,39,1364,139,79,2.8,2.5,290
392,392,4/22/2021,84,1239,329,31,5.5,85.6,966
393,393,1/16/2021,80,834,777,32,4.0,84.0,136
394,394,1/17/2021,12,757,739,33,2.4,64.4,329
395,395,2/12/2021,15,766,241,42,8.2,68.7,312
396,396,4/25/2021,48,1180,271,42,8.6,51.7,602
397,397,5/1/2021,94,700,942,4,9.9,78.7,510
398,398,12/27/2021,18,1095,292,2,1.1,10.9,473
399,399,3/1/2021,82,1118,746,22,9.8,47.5,330
400,400,1/25/2021,99,553,869,30,3.1,9.7,406
401,401,10/9/2021,3,317,481,76,5.3,57.5,589
402,402,9/23/2021,62,636,993,2,0.0,83.8,900
403,403,10/16/2021,37,677,373,91,7.3,80.2,906
404,404,8/4/2021,48,849,502,65,7.3,93.9,924
405,405,10/23/2021,20,483,347,8,0.3,2.5,43
406,406,7/27/2021,8,1374,943,63,4.8,9.9,367
407,407,4/22/2021,20,819,69,18,6.8,55.3,571
408,408,9/20/2021,90,867,76,15,7.6,46.3,617
409,409,6/27/2021,98,287,284,28,9.5,35.1,445
410,410,9/20/2021,9,243,274,29,6.9,75.1,418
411,411,1/26/2021,91,564,817,99,3.3,54.5,652
412,412,9/23/2021,78,1253,848,11,9.9,72.9,29
413,413,4/20/2021,8,1347,209,40,5.7,24.5,816
414,414,4/21/2021,17,1201,887,82,7.9,35.7,672
415,415,7/13/2021,50,568,324,58,6.6,81.0,500
416,416,4/24/2021,59,941,519,41,8.5,82.2,150
417,417,2/7/2021,56,763,625,46,6.4,25.3,153
418,418,9/26/2021,3,505,386,80,0.5,32.7,913
419,419,5/12/2021,32,563,737,94,5.2,47.5,643
420,420,10/31/2021,98,1290,493,68,3.0,20.1,674
421,421,6/25/2021,54,454,965,4,3.4,94.1,543
422,422,9/1/2021,4,1024,226,90,1.0,89.3,556
423,423,7/13/2021,36,1165,276,45,0.7,14.8,427
424,424,3/23/2021,73,550,195,34,0.7,63.1,761
425,425,10/12/2021,21,102,807,84,4.1,81.3,648
426,426,5/31/2021,98,899,734,43,0.2,51.6,501
427,427,8/13/2021,36,808,621,67,1.3,53.8,498
428,428,4/18/2021,28,1403,446,3,6.1,85.5,652
429,429,5/8/2021,18,1133,514,91,8.4,89.4,148
430,430,7/23/2021,11,272,121,31,9.8,63.1,530
431,431,3/15/2021,72,777,107,9,2.7,81.2,355
432,432,1/31/2021,74,340,920,82,4.0,24.0,492
433,433,10/5/2021,11,529,624,58,5.8,65.3,995
434,434,3/29/2021,92,841,470,52,0.3,47.5,498
435,435,2/25/2021,59,1416,131,30,8.8,91.4,609
436,436,4/20/2021,47,66,736,29,4.0,84.1,462
437,437,1/4/2021,18,162,277,18,8.5,84.4,463
438,438,1/19/2021,69,1170,590,41,0.8,12.5,177
439,439,4/22/2021,63,1267,484,97,6.7,24.2,561
440,440,8/14/2021,24,247,773,90,3.2,3.9,49
441,441,10/4/2021,90,1261,691,97,8.4,92.6,641
442,442,8/8/2021,89,707,773,60,9.0,55.9,652
443,443,8/1/2021,90,471,463,1,9.9,26.5,363
444,444,4/10/2021,14,502,774,64,5.8,8.9,816
445,445,8/24/2021,7,1289,485,82,1.2,92.2,582
446,446,6/22/2021,84,349,432,6,5.7,82.1,463
447,447,10/10/2021,32,298,45,13,5.4,83.4,4
448,448,5/16/2021,13,179,187,91,3.4,7.4,955
449,449,1/30/2021,74,1244,167,76,5.4,61.1,856
450,450,2/11/2021,4,325,368,7,0.0,80.5,790
451,451,3/14/2021,94,805,522,47,3.2,60.4,869
452,452,9/28/2021,63,1165,319,89,6.2,36.5,420
453,453,8/7/2021,49,889,270,5,9.2,25.3,643
454,454,11/13/2021,67,449,921,30,6.5,27.4,824
455,455,7/2/2021,3,422,385,20,8.1,31.4,747
456,456,7/8/2021,13,732,709,1,6.5,65.1,912
457,457,6/22/2021,3,355,941,50,8.6,68.9,115
458,458,10/2/2021,69,494,240,28,0.1,1.2,528
459,459,2/19/2021,28,1084,406,29,0.9,46.6,810
460,460,11/27/2021,0,872,957,75,8.2,68.8,26
461,461,7/8/2021,15,1332,594,97,5.8,32.3,389
462,462,10/4/2021,92,1403,988,74,9.6,88.2,382
463,463,3/12/2021,97,679,466,82,3.8,45.2,627
464,464,7/2/2021,37,349,821,74,6.4,69.9,327
465,465,5/10/2021,45,676,331,99,8.7,29.0,762
466,466,8/26/2021,59,697,401,12,1.7,12.5,641
467,467,10/7/2021,64,918,682,27,2.9,85.7,807
468,468,1/18/2021,41,70,134,39,9.8,29.5,379
469,469,5/17/2021,80,116,476,84,8.1,3.5,277
470,470,12/2/2021,87,731,655,45,8.8,51.6,346
471,471,6/14/2021,15,983,435,53,6.5,21.0,711
472,472,6/18/2021,43,1112,737,56,9.8,86.5,331
473,473,11/30/2021,98,771,918,56,8.1,33.7,141
